n, psum1, psum2
100, 0.000001, 0.000000
450, 0.000001, 0.000001
1000, 0.000002, 0.000002
1750, 0.000006, 0.000003
2700, 0.000007, 0.000004
3850, 0.000008, 0.000005
5200, 0.000013, 0.000007
6750, 0.000014, 0.000010
8500, 0.000034, 0.000012
10450, 0.000063, 0.000015
12600, 0.000026, 0.000018
14950, 0.000030, 0.000021
17500, 0.000036, 0.000024
20250, 0.000041, 0.000028
23200, 0.000048, 0.000032
26350, 0.000054, 0.000037
29700, 0.000061, 0.000041
33250, 0.000067, 0.000046
37000, 0.000075, 0.000052
40950, 0.000082, 0.000057
45100, 0.000091, 0.000063
49450, 0.000099, 0.000069
54000, 0.000108, 0.000075
58750, 0.000118, 0.000082
63700, 0.000127, 0.000089
68850, 0.000138, 0.000096
74200, 0.000147, 0.000103
79750, 0.000158, 0.000111
85500, 0.000171, 0.000119
91450, 0.000181, 0.000127
97600, 0.000194, 0.000136
103950, 0.000205, 0.000144
110500, 0.000218, 0.000153
117250, 0.000233, 0.000163
124200, 0.000245, 0.000173
131350, 0.000259, 0.000182
138700, 0.000273, 0.000192
146250, 0.000289, 0.000203
154000, 0.000303, 0.000214
161950, 0.000319, 0.000225
170100, 0.000334, 0.000236
178450, 0.000352, 0.000248
187000, 0.000367, 0.000260
195750, 0.000385, 0.000272
204700, 0.000399, 0.000284
213850, 0.000422, 0.000297
223200, 0.000437, 0.000310
232750, 0.000456, 0.000324
242500, 0.000475, 0.000337
252450, 0.000495, 0.000350
The biggest psum output value is: 0
Wakeup delay calculated the value 1.005707
