n, psum1, psum2
100, 0.000000, 0.000000
160, 0.000000, 0.000000
240, 0.000001, 0.000000
340, 0.000001, 0.000001
460, 0.000001, 0.000001
600, 0.000001, 0.000001
760, 0.000002, 0.000001
940, 0.000002, 0.000001
1140, 0.000004, 0.000002
1360, 0.000003, 0.000002
1600, 0.000003, 0.000002
1860, 0.000004, 0.000003
2140, 0.000006, 0.000003
2440, 0.000005, 0.000004
2760, 0.000005, 0.000004
3100, 0.000007, 0.000004
3460, 0.000007, 0.000005
3840, 0.000008, 0.000005
4240, 0.000009, 0.000006
4660, 0.000009, 0.000007
5100, 0.000010, 0.000007
5560, 0.000012, 0.000008
6040, 0.000012, 0.000009
6540, 0.000014, 0.000009
7060, 0.000014, 0.000010
7600, 0.000016, 0.000011
8160, 0.000016, 0.000011
8740, 0.000018, 0.000012
9340, 0.000020, 0.000013
9960, 0.000019, 0.000014
The biggest psum output value is: 0
Wakeup delay calculated the value 1.005707
