reduction -- vector examples
testing option 0
testing option 1
testing option 2
testing option 3
testing option 4
testing option 5
size, combine4, combine6_5, combine8, combine8_2, combine8_4, combine8_8 
8000,  9753, 10125, 46848, 44175, 47520, 54798
145580,  249309, 78681, 87849, 67482, 58365, 59730
526320,  1220943, 288051, 207795, 126333, 92424, 94899
1150222,  2822160, 608961, 407292, 226107, 184785, 243768
2017283,  5041752, 1055013, 686253, 366681, 217530, 207813
3127506,  7882731, 1625340, 1040403, 543450, 364995, 310887
4480888,  11345004, 2341170, 1474416, 761589, 475377, 246216
6077432,  15434079, 3151308, 1984461, 1014348, 676575, 456009
7917135,  20229282, 4098612, 2573181, 1410105, 831471, 502488
10000000,  25488768, 5204607, 3241716, 1646421, 1041300, 632469

Wakeup delay calculated 1.005707
