reduction -- vector examples
testing option 0
testing option 1
testing option 2
testing option 3
testing option 4
testing option 5
size, combine4, combine6_5, combine8, combine8_2, combine8_4, combine8_8 
8000,  11085, 9573, 40911, 33900, 34521, 42087
145580,  253725, 77520, 122736, 77232, 58272, 52647
526320,  1225572, 288456, 363912, 197682, 123786, 107106
1150222,  2821956, 609627, 763890, 397752, 223668, 197115
2017283,  5043096, 1055721, 1318362, 676620, 356952, 213867
3127506,  8055411, 1623009, 2028171, 1030314, 533964, 353007
4480888,  11361531, 2372223, 2906253, 1475448, 754413, 660879
6077432,  15448230, 3254157, 3926916, 1986111, 1019712, 945018
7917135,  20157312, 4235526, 5104695, 2574546, 1314933, 1171602
10000000,  25489917, 5352537, 6428511, 3343221, 1639533, 1476936

Wakeup delay calculated 1.005707
