Branch optimisation examples
Testing 4 different ways, on arrays of 20 sizes from 1 to 7943
testing option 0: branch1() on predictable data
testing option 1: branch1() on unpredictable data
testing option 2: branch2() on predictable data
testing option 3: branch2() on unpredictable data

size, pred.branch1, unpred.branch1, pred.branch2, unpred.branch2
2000,  5229, 4734, 7299, 7164
46000,  63549, 63381, 67374, 49287
178000,  259380, 259482, 268554, 221001
398000,  547044, 547140, 556107, 429258
706000,  951300, 950109, 960003, 731361
1102000,  1467486, 1469277, 1119600, 1120863
1586000,  2101479, 2101527, 1595124, 1705341
2158000,  2851023, 2852745, 2155218, 2268246
2818000,  3713229, 3716223, 2803794, 2914209
3566000,  4693479, 4693041, 3644775, 3649308
4402000,  5790492, 5790771, 4631403, 4541781
5326000,  6996693, 7002162, 5532888, 5414208
6338000,  8320491, 8318247, 6755649, 6323856
7438000,  9756369, 9763029, 7952664, 7413786
8626000,  11316273, 11648955, 9144696, 8610159
9902000,  12981669, 13439064, 10194081, 9869085
11266000,  14769837, 15086415, 11289960, 11212791
12718000,  16681647, 16672251, 13080789, 12652482
14258000,  18698400, 18691863, 14788548, 14203443
15886000,  20841879, 20803296, 16313868, 15859098

Wakeup delay calculated 1.005707
